0.000,0.055
0.004,0.125
0.008,0.135
0.012,0.115
0.016,0.095
0.020,0.110
0.024,0.125
0.028,0.090
0.032,0.065
0.036,0.080
0.040,0.090
0.044,0.045
0.048,0.005
0.052,-0.035
0.056,-0.055
0.060,-0.015
0.064,0.000
0.068,-0.045
0.072,-0.075
0.076,-0.065
0.080,-0.070
0.084,-0.115
0.088,-0.150
0.092,-0.180
0.096,-0.220
0.100,-0.275
0.104,-0.315
0.108,-0.350
0.112,-0.335
0.116,-0.290
0.120,-0.260
0.124,-0.235
0.128,-0.215
0.132,-0.200
0.136,-0.200
0.140,-0.210
0.144,-0.245
0.148,-0.280
0.152,-0.235
0.156,-0.170
0.160,-0.165
0.164,-0.160
0.168,-0.210
0.172,-0.265
0.176,-0.265
0.180,-0.265
0.184,-0.230
0.188,-0.195
0.192,-0.205
0.196,-0.210
0.200,-0.180
0.204,-0.155
0.208,-0.175
0.212,-0.195
0.216,-0.210
0.220,-0.225
0.224,-0.215
0.228,-0.210
0.232,-0.230
0.236,-0.230
0.240,-0.190
0.244,-0.165
0.248,-0.175
0.252,-0.195
0.256,-0.220
0.260,-0.225
0.264,-0.205
0.268,-0.210
0.272,-0.240
0.276,-0.280
0.280,-0.320
0.284,-0.265
0.288,-0.165
0.292,-0.170
0.296,-0.220
0.300,-0.235
0.304,-0.230
0.308,-0.280
0.312,-0.355
0.316,-0.355
0.320,-0.340
0.324,-0.315
0.328,-0.290
0.332,-0.260
0.336,-0.225
0.340,-0.255
0.344,-0.285
0.348,-0.250
0.352,-0.215
0.356,-0.245
0.360,-0.265
0.364,-0.195
0.368,-0.145
0.372,-0.195
0.376,-0.240
0.380,-0.265
0.384,-0.270
0.388,-0.220
0.392,-0.210
0.396,-0.285
0.400,-0.335
0.404,-0.325
0.408,-0.315
0.412,-0.310
0.416,-0.260
0.420,-0.165
0.424,-0.125
0.428,-0.145
0.432,-0.165
0.436,-0.195
0.440,-0.200
0.444,-0.190
0.448,-0.190
0.452,-0.200
0.456,-0.245
0.460,-0.310
0.464,-0.245
0.468,-0.140
0.472,-0.175
0.476,-0.250
0.480,-0.230
0.484,-0.190
0.488,-0.230
0.492,-0.280
0.496,-0.150
0.500,-0.285
0.504,-0.005
0.508,-0.015
0.512,-0.230
0.516,-0.415
0.520,-0.255
0.524,-0.120
0.528,-0.175
0.532,-0.225
0.536,-0.195
0.540,-0.150
0.544,-0.045
0.548,0.000
0.552,-0.125
0.556,-0.205
0.560,-0.175
0.564,-0.145
0.568,-0.110
0.572,-0.105
0.576,-0.155
0.580,-0.120
0.584,0.025
0.588,0.075
0.592,0.035
0.596,-0.025
0.600,-0.105
0.604,-0.105
0.608,-0.045
0.612,-0.005
0.616,0.030
0.620,-0.020
0.624,-0.120
0.628,-0.055
0.632,0.070
0.636,0.055
0.640,0.005
0.644,-0.030
0.648,-0.060
0.652,-0.130
0.656,-0.210
0.660,-0.175
0.664,-0.130
0.668,-0.185
0.672,-0.245
0.676,-0.095
0.680,0.045
0.684,0.030
0.688,0.005
0.692,-0.105
0.696,-0.220
0.700,-0.390
0.704,-0.525
0.708,-0.505
0.712,-0.485
0.716,-0.475
0.720,-0.260
0.724,0.400
0.728,1.110
0.732,1.900
0.736,2.495
0.740,2.795
0.744,3.025
0.748,3.170
0.752,2.760
0.756,1.780
0.760,0.850
0.764,-0.040
0.768,-0.580
0.772,-0.885
0.776,-0.945
0.780,-0.865
0.784,-0.840
0.788,-0.850
0.792,-0.715
0.796,-0.520
